long;countryOrRegion;provinceOrState;county;isoCode;lat;totalConfirmedCases;newlyConfirmedCases;totalDeaths;newDeaths;totalRecoveredCases;newlyRecoveredCases
144.793731;United States;Guam;;;13.444304;32;0;1;0;0;0
-66.590149;United States;Puerto Rico;;;18.220833;27066;547;412;12;391;0
-64.896335;United States;U.S. Virgin Islands;;;18.335765;17;0;0;0;0;0
-86.902298;United States;Alabama;;US-AL;32.318231;110572;4263;1962;68;41523;0
-154.493062;United States;Alaska;;US-AK;63.588753;4924;8;30;0;1192;0
-111.093731;United States;Arizona;;US-AZ;34.048928;192657;844;4496;70;27029;0
-91.831833;United States;Arkansas;;US-AR;35.20105;53089;697;600;12;45446;0
-119.417932;United States;California;;US-CA;36.778261;618838;4711;11628;69;247019;0
-105.782067;United States;Colorado;;US-CO;39.550051;52959;364;1900;4;20090;0
-73.087749;United States;Connecticut;;US-CT;41.603221;50898;1;4454;0;30015;0
139.638;United States;Cruise Ship: Diamond Princess;;;35.4437;46;0;0;0;0;0
-122.6655;United States;Cruise Ship: Grand Princess;;;37.6489;21;0;0;0;0;0
-75.52767;United States;Delaware;;US-DE;38.910832;16397;57;594;0;8613;0
-77.0369;United States;District of Columbia;;US-DC;38.9072;13159;41;597;3;10416;0
-81.515754;United States;Florida;;US-FL;27.664827;569644;6359;16790;201;53305;0
-82.907123;United States;Georgia;;US-GA;32.157435;235213;3318;4678;100;37946;0
-155.665857;United States;Hawaii;;US-HI;19.898682;4828;285;40;0;1756;0
-114.742041;United States;Idaho;;US-ID;44.068202;27595;283;269;1;10369;0
-89.398528;United States;Illinois;;US-IL;40.633125;206639;2616;7970;38;146699;0
-85.602364;United States;Indiana;;US-IN;40.551217;87604;682;3311;197;59073;0
-93.097702;United States;Iowa;;US-IA;41.878003;52072;825;977;3;39943;0
-98.484246;United States;Kansas;;US-KS;39.011902;34319;0;415;0;21063;0
-84.270018;United States;Kentucky;;US-KY;37.839333;40318;296;829;3;9021;0
-92.145024;United States;Louisiana;;US-LA;31.244823;137077;253;4436;3;103512;0
-69.445469;United States;Maine;;US-ME;45.253783;4146;29;126;0;3604;0
-76.641271;United States;Maryland;;US-MD;39.045755;99319;444;3633;2;5986;0
-71.382437;United States;Massachusetts;;US-MA;42.407211;123200;472;8827;17;100486;0
-85.602364;United States;Michigan;;US-MI;44.314844;101311;544;6588;8;63636;0
-94.6859;United States;Minnesota;;US-MN;46.729553;64446;723;1746;7;56659;0
-89.398528;United States;Mississippi;;US-MS;32.354668;71755;825;2083;38;49836;0
-91.831833;United States;Missouri;;US-MO;37.964253;67232;1155;1447;4;9997;0
-110.362566;United States;Montana;;US-MT;46.879682;5669;101;82;0;4011;0
-99.901813;United States;Nebraska;;US-NE;41.492537;30310;322;367;1;22004;0
-116.419389;United States;Nevada;;US-NV;38.80261;60640;838;1077;32;26011;0
-71.572395;United States;New Hampshire;;US-NH;43.193852;6984;18;423;0;6218;0
-74.405661;United States;New Jersey;;US-NJ;40.058324;192450;53;15974;1;155415;0
-105.032363;United States;New Mexico;;US-NM;34.97273;25038;1417;713;8;10182;0
-74.217933;United States;New York;;US-NY;43.299428;454863;715;33613;7;350527;0
-79.0193;United States;North Carolina;;US-NC;35.759573;144094;1122;2394;20;116969;0
-101.002012;United States;North Dakota;;US-ND;47.551493;8450;123;122;0;7066;0
145.75;United States;Northern Mariana Islands;;;15.183333;64;0;4;0;11;0
-82.907123;United States;Ohio;;US-OH;40.417287;107701;1116;3829;35;84904;0
-97.092877;United States;Oklahoma;;US-OK;35.007752;47803;906;658;12;39282;0
-120.554201;United States;Oregon;;US-OR;43.804133;23018;403;389;1;4355;0
-77.194525;United States;Pennsylvania;;US-PA;41.203322;128531;755;7543;8;95901;0
-71.477429;United States;Rhode Island;;US-RI;41.580095;20335;0;2029;1008;1953;0
-81.163725;United States;South Carolina;;US-SC;33.836081;107134;1024;2261;56;42730;0
-99.901813;United States;South Dakota;;US-SD;43.969515;10131;94;154;3;8773;0
-86.580447;United States;Tennessee;;US-TN;35.517491;134319;3861;1661;12;91323;0
-99.901813;United States;Texas;;US-TX;31.968599;554742;5831;10355;133;383717;0
-111.093731;United States;Utah;;US-UT;39.32098;46681;266;368;0;36679;0
-72.577841;United States;Vermont;;US-VT;44.558803;1509;8;59;0;1321;0
-78.656894;United States;Virginia;;US-VA;37.431573;105744;906;2381;11;13477;0
-120.740139;United States;Washington;;US-WA;47.751074;69295;549;1838;9;23404;0
-80.454903;United States;West Virginia;;;38.597626;8485;190;160;2;6144;0
-88.787868;United States;Wisconsin;;US-WI;43.78444;65203;758;1042;9;54181;0
-107.290284;United States;Wyoming;;US-WY;43.075968;3235;45;53;23;2641;0
;United States;Veteran Affairs;;;;6692;0;413;0;0;0
;United States;US Military;;;;6213;0;26;0;1947;0
;United States;Navajo Nation;;;;1540;0;58;0;0;0
;United States;Federal Prisons;;;;1047;0;26;0;507;0
;United States;Wuhan Repatriated;;;;3;0;0;0;0;0
